Force ;Length;Time;Position;Small Length
47.506650;0.4385943;8.74;0.4385943;0.0189488
47.387550;0.4393935;8.76;0.4393935;0.01894892
47.257000;0.4401927;8.78;0.4401927;0.01894904
47.151640;0.4409586;8.8;0.4409586;0.01894916
47.044000;0.4416246;8.82;0.4416246;0.01894928
46.915740;0.442224;8.84;0.442224;0.01894938
46.796640;0.4428234;8.86;0.4428234;0.0189495
46.576760;0.4434561;8.88;0.4434561;0.01894961
46.329400;0.4441554;8.9;0.4441554;0.01894973
46.104950;0.4449546;8.92;0.4449546;0.01894984
45.926300;0.4457871;8.94;0.4457871;0.01894995
45.752230;0.4466862;8.96;0.4466862;0.01895005
45.569000;0.4476519;8.98;0.4476519;0.01895015
45.390360;0.4486176;9;0.4486176;0.01895024
45.197970;0.4495833;9.02;0.4495833;0.01895032
45.023900;0.4505157;9.04;0.4505157;0.01895038
44.790280;0.4514148;9.06;0.4514148;0.01895044
44.474210;0.4522806;9.08;0.4522806;0.01895049
44.061950;0.4531797;9.1;0.4531797;0.01895054
43.338190;0.4540788;9.12;0.4540788;0.01895056
40.401950;0.455211;9.14;0.455211;0.01895057
22.381400;0.4567428;9.16;0.4567428;0.01895058
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
